,0
0.08,npxg_per90
0.39,npxg_xg_assist_per90
"<a href=""/en/players/cd1acf9d/matchlogs/2023-2024/summary/Trent-Alexander-Arnold-Match-Logs""Matches",matches
17,ranker
"<a href=""/en/players/7a2e46a8/Alisson""Alisson",player
"<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",nationality
GK,position
"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",team
31-151,age
1992,birth_year
21,games
21,games_starts
"1,890",minutes
21.0,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
2,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/7a2e46a8/matchlogs/2023-2024/summary/Alisson-Match-Logs""Matches",matches
18,ranker
"<a href=""/en/players/862a1c15/Miguel-Almiron""Miguel Almirón",player
"<a href=""/en/country/PAR/Paraguay-Football""<span style=""white-space: nowrap""<span class=""f-i f-py"" style=""""py",nationality
FW,position
"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",team
30-020,age
1994,birth_year
26,games
22,games_starts
"1,749",minutes
19.4,minutes_90s
3,goals
1,assists
4,goals_assists
3,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
4.3,xg
4.3,npxg
2.0,xg_assist
6.3,npxg_xg_assist
72,progressive_carries
72,progressive_passes
148,progressive_passes_received
0.15,goals_per90
0.05,assists_per90
0.21,goals_assists_per90
0.15,goals_pens_per90
0.21,goals_assists_pens_per90
0.22,xg_per90
0.10,xg_assist_per90
0.32,xg_xg_assist_per90
0.22,npxg_per90
0.32,npxg_xg_assist_per90
"<a href=""/en/players/862a1c15/matchlogs/2023-2024/summary/Miguel-Almiron-Match-Logs""Matches",matches
19,ranker
"<a href=""/en/players/8b3ab7ad/Edson-Alvarez""Edson Álvarez",player
"<a href=""/en/country/MEX/Mexico-Football""<span style=""white-space: nowrap""<span class=""f-i f-mx"" style=""""mx",nationality
MF,position
"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",team
26-129,age
1997,birth_year
22,games
21,games_starts
"1,743",minutes
19.4,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
9,cards_yellow
0,cards_red
0.6,xg
0.6,npxg
0.4,xg_assist
1.0,npxg_xg_assist
14,progressive_carries
61,progressive_passes
20,progressive_passes_received
0.00,goals_per90
0.05,assists_per90
0.05,goals_assists_per90
0.00,goals_pens_per90
0.05,goals_assists_pens_per90
0.03,xg_per90
0.02,xg_assist_per90
0.05,xg_xg_assist_per90
0.03,npxg_per90
0.05,npxg_xg_assist_per90
"<a href=""/en/players/8b3ab7ad/matchlogs/2023-2024/summary/Edson-Alvarez-Match-Logs""Matches",matches
20,ranker
"<a href=""/en/players/15ab5a2b/Julian-Alvarez""Julián Álvarez",player
"<a href=""/en/country/ARG/Argentina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ar"" style=""""ar",nationality
"MF,FW",position
"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",team
24-030,age
2000,birth_year
26,games
25,games_starts
"2,097",minutes
23.3,minutes_90s
8,goals
6,assists
14,goals_assists
7,goals_pens
1,pens_made
1,pens_att
2,cards_yellow
0,cards_red
8.9,xg
8.2,npxg
6.1,xg_assist
14.3,npxg_xg_assist
45,progressive_carries
80,progressive_passes
131,progressive_passes_received
0.34,goals_per90
0.26,assists_per90
0.60,goals_assists_per90
0.30,goals_pens_per90
0.56,goals_assists_pens_per90
0.38,xg_per90
0.26,xg_assist_per90
0.64,xg_xg_assist_per90
0.35,npxg_per90
0.61,npxg_xg_assist_per90
"<a href=""/en/players/15ab5a2b/matchlogs/2023-2024/summary/Julian-Alvarez-Match-Logs""Matches",matches
21,ranker
"<a href=""/en/players/2ee5b0c9/Zeki-Amdouni""Zeki Amdouni",player
"<a href=""/en/country/SUI/Switzerland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ch"" style=""""ch",nationality
FW,position
"<a href=""/en/squads/943e8050/Burnley-Stats""Burnley",team
23-088,age
2000,birth_year
25,games
25,games_starts
"1,736",minutes
19.3,minutes_90s
4,goals
1,assists
5,goals_assists
4,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
4.2,xg
4.2,npxg
1.4,xg_assist
5.6,npxg_xg_assist
55,progressive_carries
44,progressive_passes
80,progressive_passes_received
0.21,goals_per90
0.05,assists_per90
0.26,goals_assists_per90
0.21,goals_pens_per90
0.26,goals_assists_pens_per90
0.22,xg_per90
0.07,xg_assist_per90
0.29,xg_xg_assist_per90
0.22,npxg_per90
0.29,npxg_xg_assist_per90
"<a href=""/en/players/2ee5b0c9/matchlogs/2023-2024/summary/Zeki-Amdouni-Match-Logs""Matches",matches
22,ranker
"<a href=""/en/players/5a2cb25d/Sofyan-Amrabat""Sofyan Amrabat",player
"<a href=""/en/country/MAR/Morocco-Football""<span style=""white-space: nowrap""<span class=""f-i f-ma"" style=""""ma",nationality
"MF,DF",position
"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",team
27-193,age
1996,birth_year
12,games
7,games_starts
619,minutes
6.9,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
0.1,xg
0.1,npxg
0.2,xg_assist
0.2,npxg_xg_assist
5,progressive_carries
50,progressive_passes
8,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.01,xg_per90
0.03,xg_assist_per90
0.03,xg_xg_assist_per90
0.01,npxg_per90
0.03,npxg_xg_assist_per90
"<a href=""/en/players/5a2cb25d/matchlogs/2023-2024/summary/Sofyan-Amrabat-Match-Logs""Matches",matches
23,ranker
"<a href=""/en/players/e34fc66d/Joachim-Andersen""Joachim Andersen",player
"<a href=""/en/country/DEN/Denmark-Football""<span style=""white-space: nowrap""<span class=""f-i f-dk"" style=""""dk",nationality
DF,position
"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",team
27-275,age
1996,birth_year
26,games
26,games_starts
"2,339",minutes
26.0,minutes_90s
2,goals
2,assists
4,goals_assists
2,goals_pens
0,pens_made
0,pens_att
4,cards_yellow
0,cards_red
1.2,xg
1.2,npxg
1.5,xg_assist
2.7,npxg_xg_assist
19,progressive_carries
115,progressive_passes
8,progressive_passes_received
0.08,goals_per90
0.08,assists_per90
0.15,goals_assists_per90
0.08,goals_pens_per90
0.15,goals_assists_pens_per90
0.05,xg_per90
0.06,xg_assist_per90
0.10,xg_xg_assist_per90
0.05,npxg_per90
0.10,npxg_xg_assist_per90
"<a href=""/en/players/e34fc66d/matchlogs/2023-2024/summary/Joachim-Andersen-Match-Logs""Matches",matches
24,ranker
"<a href=""/en/players/de31038e/Elliot-Anderson""Elliot Anderson",player
"<a href=""/en/country/SCO/Scotland-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-sct"" style=""""sct",nationality
"MF,FW",position
"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",team
21-116,age
2002,birth_year
9,games
4,games_starts
411,minutes
4.6,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.7,xg
0.7,npxg
0.9,xg_assist
1.6,npxg_xg_assist
14,progressive_carries
26,progressive_passes
33,progressive_passes_received
0.00,goals_per90
0.22,assists_per90
0.22,goals_assists_per90
0.00,goals_pens_per90
0.22,goals_assists_pens_per90
0.16,xg_per90
0.19,xg_assist_per90
0.35,xg_xg_assist_per90
0.16,npxg_per90
0.35,npxg_xg_assist_per90
"<a href=""/en/players/de31038e/matchlogs/2023-2024/summary/Elliot-Anderson-Match-Logs""Matches",matches
25,ranker
"<a href=""/en/players/e4238fb1/Jaidon-Anthony""Jaidon Anthony",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
FW,position
"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",team
24-091,age
1999,birth_year
3,games
2,games_starts
152,minutes
1.7,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.1,xg
0.1,npxg
0.0,xg_assist
0.1,npxg_xg_assist
2,progressive_carries
8,progressive_passes
9,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.04,xg_per90
0.00,xg_assist_per90
0.04,xg_xg_assist_per90
0.04,npxg_per90
0.04,npxg_xg_assist_per90
"<a href=""/en/players/e4238fb1/matchlogs/2023-2024/summary/Jaidon-Anthony-Match-Logs""Matches",matches
Rk,ranker
Player,player
Nation,nationality
Pos,position
Squad,team
Age,age
Born,birth_year
MP,games
Starts,games_starts
Min,minutes
90s,minutes_90s
Gls,goals
Ast,assists
G+A,goals_assists
G-PK,goals_pens
PK,pens_made
PKatt,pens_att
CrdY,cards_yellow
CrdR,cards_red
xG,xg
npxG,npxg
xAG,xg_assist
npxG+xAG,npxg_xg_assist
PrgC,progressive_carries
PrgP,progressive_passes
PrgR,progressive_passes_received
Gls,goals_per90
Ast,assists_per90
G+A,goals_assists_per90
G-PK,goals_pens_per90
G+A-PK,goals_assists_pens_per90
xG,xg_per90
xAG,xg_assist_per90
xG+xAG,xg_xg_assist_per90
npxG,npxg_per90
npxG+xAG,npxg_xg_assist_per90
Matches,matches
26,ranker
"<a href=""/en/players/ac05f970/Michail-Antonio""Michail Antonio",player
"<a href=""/en/country/JAM/Jamaica-Football""<span style=""white-space: nowrap""<span class=""f-i f-jm"" style=""""jm",nationality
FW,position
"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",team
33-339,age
1990,birth_year
14,games
12,games_starts
903,minutes
10.0,minutes_90s
2,goals
2,assists
4,goals_assists
2,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
1.9,xg
1.9,npxg
0.7,xg_assist
2.6,npxg_xg_assist
26,progressive_carries
10,progressive_passes
52,progressive_passes_received
0.20,goals_per90
0.20,assists_per90
0.40,goals_assists_per90
0.20,goals_pens_per90
0.40,goals_assists_pens_per90
0.19,xg_per90
0.07,xg_assist_per90
0.26,xg_xg_assist_per90
0.19,npxg_per90
0.26,npxg_xg_assist_per90
"<a href=""/en/players/ac05f970/matchlogs/2023-2024/summary/Michail-Antonio-Match-Logs""Matches",matches
27,ranker
"<a href=""/en/players/99127249/Antony""Antony",player
"<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",nationality
FW,position
"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",team
24-006,age
2000,birth_year
20,games
11,games_starts
929,minutes
10.3,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
1.5,xg
1.5,npxg
2.1,xg_assist
3.6,npxg_xg_assist
36,progressive_carries
49,progressive_passes
113,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.14,xg_per90
0.21,xg_assist_per90
